iteration, eigindex, value, type
0,N/A,0,t
0,0,2225517.451378,A
1,0,0.893387,vr
1,0,3.132959,vi
1,1,0.893387,vr
1,1,-3.132959,vi
1,2,2.759351,vr
1,2,0.487771,vi
1,3,2.759351,vr
1,3,-0.487771,vi
1,4,-2.463495,vr
1,4,0.639413,vi
1,5,-2.463495,vr
1,5,-0.639413,vi
1,6,-1.998979,vr
1,6,1.241736,vi
1,7,-1.998979,vr
1,7,-1.241736,vi
1,8,2.072207,vr
1,8,1.023429,vi
1,9,2.072207,vr
1,9,-1.023429,vi
1,10,-0.246192,vr
1,10,2.195595,vi
1,11,-0.246192,vr
1,11,-2.195595,vi
1,12,-0.541076,vr
1,12,2.030128,vi
1,13,-0.541076,vr
1,13,-2.030128,vi
1,14,-1.904647,vr
1,14,0.316764,vi
1,15,-1.904647,vr
1,15,-0.316764,vi
1,16,1.731109,vr
1,16,0.000000,vi
1,17,-1.039216,vr
1,17,1.478416,vi
1,18,-1.039216,vr
1,18,-1.478416,vi
1,19,1.373371,vr
1,19,1.062570,vi
1,20,1.373371,vr
1,20,-1.062570,vi
1,21,1.662484,vr
1,21,0.426475,vi
1,22,1.662484,vr
1,22,-0.426475,vi
1,23,0.617142,vr
1,23,1.639204,vi
1,24,0.617142,vr
1,24,-1.639204,vi
1,25,-0.856741,vr
1,25,1.500852,vi
1,26,-0.856741,vr
1,26,-1.500852,vi
1,27,-1.504982,vr
1,27,0.045444,vi
1,28,-1.504982,vr
1,28,-0.045444,vi
1,29,1.504792,vr
1,29,0.000000,vi
1,30,0.797092,vr
1,30,1.311713,vi
1,31,0.797092,vr
1,31,-1.311713,vi
1,32,-1.292784,vr
1,32,0.688958,vi
1,33,-1.292784,vr
1,33,-0.688958,vi
1,34,-1.092927,vr
1,34,0.884779,vi
1,35,-1.092927,vr
1,35,-0.884779,vi
1,36,1.143124,vr
1,36,0.825594,vi
1,37,1.143124,vr
1,37,-0.825594,vi
1,38,-0.250811,vr
1,38,1.374429,vi
1,39,-0.250811,vr
1,39,-1.374429,vi
1,40,0.596095,vr
1,40,1.216314,vi
1,41,0.596095,vr
1,41,-1.216314,vi
1,42,0.000972,vr
1,42,1.362276,vi
1,43,0.000972,vr
1,43,-1.362276,vi
1,44,0.804892,vr
