iteration, eigindex, value, type
0,N/A,0,t
0,0,1034.639207,A
1,0,5.036267,vr
1,0,0.000000,vi
1,1,9.173927,vr
1,1,0.000000,vi
1,2,8.338779,vr
1,2,0.513973,vi
1,3,8.338779,vr
1,3,-0.513973,vi
1,4,8.530205,vr
1,4,0.000000,vi
1,5,8.027584,vr
1,5,0.177978,vi
1,6,8.027584,vr
1,6,-0.177978,vi
1,7,7.635493,vr
1,7,0.188443,vi
1,8,7.635493,vr
1,8,-0.188443,vi
1,9,7.666860,vr
1,9,0.000000,vi
1,N/A,0.539210,t
1,0,5.758604,A
2,0,6.572324,vr
2,0,0.000000,vi
2,1,9.624986,vr
2,1,0.000000,vi
2,2,8.243166,vr
2,2,0.080401,vi
2,3,8.243166,vr
2,3,-0.080401,vi
2,4,8.878860,vr
2,4,0.537968,vi
2,5,8.878860,vr
2,5,-0.537968,vi
2,6,9.065623,vr
2,6,0.236365,vi
2,7,9.065623,vr
2,7,-0.236365,vi
2,8,8.709870,vr
2,8,0.028345,vi
2,9,8.709870,vr
2,9,-0.028345,vi
2,N/A,0.625298,t
2,0,10.963104,A
3,0,9.721152,vr
3,0,0.000000,vi
3,1,9.194859,vr
3,1,0.542156,vi
3,2,9.194859,vr
3,2,-0.542156,vi
3,3,9.452614,vr
3,3,0.195600,vi
3,4,9.452614,vr
3,4,-0.195600,vi
3,5,8.491389,vr
3,5,0.000000,vi
3,6,8.615664,vr
3,6,0.178426,vi
3,7,8.615664,vr
3,7,-0.178426,vi
3,8,8.917317,vr
3,8,0.000000,vi
3,9,9.061743,vr
3,9,0.000000,vi
3,N/A,0.716243,t
3,0,2.719886,A
4,0,9.410964,vr
4,0,0.552645,vi
4,1,9.410964,vr
4,1,-0.552645,vi
4,2,9.083678,vr
4,2,0.423609,vi
4,3,9.083678,vr
4,3,-0.423609,vi
4,4,9.749936,vr
4,4,0.000000,vi
4,5,9.612492,vr
4,5,0.174809,vi
4,6,9.612492,vr
4,6,-0.174809,vi
4,7,9.428072,vr
4,7,0.000000,vi
4,8,8.800470,vr
4,8,0.079619,vi
4,9,8.800470,vr
4,9,-0.079619,vi
4,N/A,0.800120,t
4,0,3.385168,A
5,0,9.474618,vr
5,0,0.507927,vi
5,1,9.474618,vr
5,1,-0.507927,vi
5,2,9.849804,vr
5,2,0.000000,vi
5,3,9.578866,vr
5,3,0.307898,vi
5,4,9.578866,vr
5,4,-0.307898,vi
5,5,9.705619,vr
5,5,0.000000,vi
5,6,9.174679,vr
5,6,0.454935,vi
5,7,9.174679,vr
5,7,-0.454935,vi
5,8,8.860555,vr
5,8,0.000000,vi
5,9,9.174105,vr
5,9,0.000000,vi
5,N/A,0.883171,t
5,0,1.897877,A
6,0,8.876111,vr
6,0,0.000000,vi
6,1,9.238539,vr
6,1,0.468121,vi
6,2,9.238539,vr
6,2,-0.468121,vi
6,3,9.411354,vr
6,3,0.527502,vi
6,4,9.411354,vr
6,4,-0.527502,vi
6,5,9.654533,vr
6,5,0.431446,vi
6,6,9.654533,vr
6,6,-0.431446,vi
6,7,9.931631,vr
6,7,0.000000,vi
6,8,9.809784,vr
6,8,0.000000,vi
6,9,9.471753,vr
6,9,0.000000,vi
6,N/A,0.966814,t
6,0,1.664345,A
7,0,8.931612,vr
7,0,0.000000,vi
7,1,9.404908,vr
7,1,0.576441,vi
7,2,9.404908,vr
7,2,-0.576441,vi
7,3,9.381905,vr
7,3,0.443605,vi
7,4,9.381905,vr
7,4,-0.443605,vi
7,5,9.669419,vr
7,5,0.430908,vi
7,6,9.669419,vr
7,6,-0.430908,vi
7,7,9.454127,vr
7,7,0.000000,vi
7,8,9.874401,vr
7,8,0.000000,vi
7,9,9.997938,vr
7,9,0.000000,vi
7,N/A,1.049425,t
7,0,1.375154,A
8,0,9.436923,vr
8,0,0.632184,vi
8,1,9.436923,vr
8,1,-0.632184,vi
8,2,9.064629,vr
8,2,0.000000,vi
8,3,9.239553,vr
8,3,0.000000,vi
8,4,9.582251,vr
8,4,0.482948,vi
8,5,9.582251,vr
8,5,-0.482948,vi
8,6,9.611629,vr
8,6,0.302185,vi
8,7,9.611629,vr
8,7,-0.302185,vi
8,8,10.052566,vr
8,8,0.000000,vi
8,9,9.884171,vr
8,9,0.000000,vi
8,N/A,1.131894,t
8,0,1.988932,A
9,0,9.475756,vr
9,0,0.645268,vi
9,1,9.475756,vr
9,1,-0.645268,vi
9,2,9.155658,vr
9,2,0.128570,vi
9,3,9.155658,vr
9,3,-0.128570,vi
9,4,9.603414,vr
9,4,0.542799,vi
9,5,9.603414,vr
9,5,-0.542799,vi
9,6,10.077647,vr
9,6,0.000000,vi
9,7,9.848216,vr
9,7,0.000000,vi
9,8,9.655660,vr
9,8,0.216179,vi
9,9,9.655660,vr
9,9,-0.216179,vi
9,N/A,1.213931,t
9,0,2.105326,A
10,0,9.491823,vr
10,0,0.633220,vi
10,1,9.491823,vr
10,1,-0.633220,vi
10,2,9.637597,vr
10,2,0.569133,vi
10,3,9.637597,vr
10,3,-0.569133,vi
10,4,9.186882,vr
10,4,0.134487,vi
10,5,9.186882,vr
10,5,-0.134487,vi
10,6,10.067240,vr
10,6,0.000000,vi
10,7,9.778960,vr
10,7,0.000000,vi
10,8,9.655803,vr
10,8,0.164813,vi
10,9,9.655803,vr
10,9,-0.164813,vi
10,N/A,1.296125,t
10,0,2.235014,A
11,0,9.495940,vr
11,0,0.617160,vi
11,1,9.495940,vr
11,1,-0.617160,vi
11,2,9.677434,vr
11,2,0.557580,vi
11,3,9.677434,vr
11,3,-0.557580,vi
11,4,9.208305,vr
11,4,0.118265,vi
11,5,9.208305,vr
11,5,-0.118265,vi
11,6,10.027735,vr
11,6,0.000000,vi
11,7,9.687205,vr
11,7,0.000000,vi
11,8,9.635582,vr
11,8,0.119742,vi
11,9,9.635582,vr
11,9,-0.119742,vi
