iteration, eigindex, value, type
0,N/A,0,t
0,0,1034.639207,A
1,0,-0.037831,vr
1,0,0.000000,vi
1,1,5.106429,vr
1,1,0.000000,vi
1,2,8.995414,vr
1,2,0.000000,vi
1,3,8.335435,vr
1,3,0.472531,vi
1,4,8.335435,vr
1,4,-0.472531,vi
1,5,7.543444,vr
1,5,0.177527,vi
1,6,7.543444,vr
1,6,-0.177527,vi
1,7,7.785531,vr
1,7,0.000000,vi
1,8,8.392368,vr
1,8,0.000000,vi
1,9,8.185399,vr
1,9,0.000000,vi
1,N/A,1.828021,t
1,0,74.751889,A
2,0,6.572324,vr
2,0,0.000000,vi
2,1,9.624986,vr
2,1,0.000000,vi
2,2,8.243166,vr
2,2,0.080401,vi
2,3,8.243166,vr
2,3,-0.080401,vi
2,4,8.878860,vr
2,4,0.537968,vi
2,5,8.878860,vr
2,5,-0.537968,vi
2,6,9.065623,vr
2,6,0.236365,vi
2,7,9.065623,vr
2,7,-0.236365,vi
2,8,8.709870,vr
2,8,0.028345,vi
2,9,8.709870,vr
2,9,-0.028345,vi
2,N/A,3.168753,t
2,0,10.963104,A
3,0,9.721206,vr
3,0,0.000000,vi
3,1,9.195591,vr
3,1,0.540320,vi
3,2,9.195591,vr
3,2,-0.540320,vi
3,3,9.452315,vr
3,3,0.195499,vi
3,4,9.452315,vr
3,4,-0.195499,vi
3,5,8.492581,vr
3,5,0.000000,vi
3,6,8.615500,vr
3,6,0.178135,vi
3,7,8.615500,vr
3,7,-0.178135,vi
3,8,8.916058,vr
3,8,0.000000,vi
3,9,9.061685,vr
3,9,0.000000,vi
3,N/A,4.561766,t
3,0,2.720146,A
4,0,9.411530,vr
4,0,0.551377,vi
4,1,9.411530,vr
4,1,-0.551377,vi
4,2,9.082588,vr
4,2,0.423430,vi
4,3,9.082588,vr
4,3,-0.423430,vi
4,4,9.750434,vr
4,4,0.000000,vi
4,5,9.612008,vr
4,5,0.175103,vi
4,6,9.612008,vr
4,6,-0.175103,vi
4,7,9.428516,vr
4,7,0.000000,vi
4,8,8.801009,vr
4,8,0.079561,vi
4,9,8.801009,vr
4,9,-0.079561,vi
4,N/A,5.952641,t
4,0,3.385799,A
5,0,9.473669,vr
5,0,0.506347,vi
5,1,9.473669,vr
5,1,-0.506347,vi
5,2,9.850262,vr
5,2,0.000000,vi
5,3,9.579027,vr
5,3,0.309193,vi
5,4,9.579027,vr
5,4,-0.309193,vi
5,5,9.704740,vr
5,5,0.000000,vi
5,6,9.173622,vr
5,6,0.453803,vi
5,7,9.173622,vr
5,7,-0.453803,vi
5,8,8.860775,vr
5,8,0.000000,vi
5,9,9.177880,vr
5,9,0.000000,vi
5,N/A,7.351672,t
5,0,1.903634,A
6,0,8.876874,vr
6,0,0.000000,vi
6,1,9.237118,vr
6,1,0.466925,vi
6,2,9.237118,vr
6,2,-0.466925,vi
6,3,9.410847,vr
6,3,0.528525,vi
6,4,9.410847,vr
6,4,-0.528525,vi
6,5,9.655386,vr
6,5,0.430863,vi
6,6,9.655386,vr
6,6,-0.430863,vi
6,7,9.932021,vr
6,7,0.000000,vi
6,8,9.808860,vr
6,8,0.000000,vi
6,9,9.473667,vr
6,9,0.000000,vi
6,N/A,8.551950,t
6,0,1.665146,A
7,0,8.933069,vr
7,0,0.000000,vi
7,1,9.405573,vr
7,1,0.576623,vi
7,2,9.405573,vr
7,2,-0.576623,vi
7,3,9.380583,vr
7,3,0.442444,vi
7,4,9.380583,vr
7,4,-0.442444,vi
7,5,9.669619,vr
7,5,0.430099,vi
7,6,9.669619,vr
7,6,-0.430099,vi
7,7,9.454065,vr
7,7,0.000000,vi
7,8,9.873867,vr
7,8,0.000000,vi
7,9,9.998145,vr
7,9,0.000000,vi
7,N/A,9.659016,t
7,0,1.374249,A
8,0,9.437155,vr
8,0,0.631873,vi
8,1,9.437155,vr
8,1,-0.631873,vi
8,2,9.069579,vr
8,2,0.000000,vi
8,3,9.233386,vr
8,3,0.000000,vi
8,4,9.582107,vr
8,4,0.482927,vi
8,5,9.582107,vr
8,5,-0.482927,vi
8,6,9.612388,vr
8,6,0.300843,vi
8,7,9.612388,vr
8,7,-0.300843,vi
8,8,10.052607,vr
8,8,0.000000,vi
8,9,9.883958,vr
8,9,0.000000,vi
8,N/A,10.962739,t
8,0,1.990500,A
9,0,9.475865,vr
9,0,0.644864,vi
9,1,9.475865,vr
9,1,-0.644864,vi
9,2,9.155175,vr
9,2,0.131201,vi
9,3,9.155175,vr
9,3,-0.131201,vi
9,4,9.603534,vr
9,4,0.542728,vi
9,5,9.603534,vr
9,5,-0.542728,vi
9,6,10.077640,vr
9,6,0.000000,vi
9,7,9.848094,vr
9,7,0.000000,vi
9,8,9.656178,vr
9,8,0.215399,vi
9,9,9.656178,vr
9,9,-0.215399,vi
9,N/A,12.365658,t
9,0,2.107174,A
10,0,9.491815,vr
10,0,0.632873,vi
10,1,9.491815,vr
10,1,-0.632873,vi
10,2,9.637869,vr
10,2,0.568909,vi
10,3,9.637869,vr
10,3,-0.568909,vi
10,4,9.186611,vr
10,4,0.136293,vi
10,5,9.186611,vr
10,5,-0.136293,vi
10,6,10.067232,vr
10,6,0.000000,vi
10,7,9.778667,vr
10,7,0.000000,vi
10,8,9.656170,vr
10,8,0.164173,vi
10,9,9.656170,vr
10,9,-0.164173,vi
10,N/A,13.977991,t
10,0,2.235393,A
11,0,9.495969,vr
11,0,0.616924,vi
11,1,9.495969,vr
11,1,-0.616924,vi
11,2,9.677657,vr
11,2,0.557154,vi
11,3,9.677657,vr
11,3,-0.557154,vi
11,4,9.208225,vr
11,4,0.119630,vi
11,5,9.208225,vr
11,5,-0.119630,vi
11,6,10.027739,vr
11,6,0.000000,vi
11,7,9.686165,vr
11,7,0.000000,vi
11,8,9.636055,vr
11,8,0.119068,vi
11,9,9.636055,vr
11,9,-0.119068,vi
