iteration, eigindex, value, type
0,N/A,0,t
0,0,1094.946306,A
1,0,5.067283,vr
1,0,0.000000,vi
1,1,8.979321,vr
1,1,0.000000,vi
1,2,8.124032,vr
1,2,0.451112,vi
1,3,8.124032,vr
1,3,-0.451112,vi
1,4,8.567976,vr
1,4,0.000000,vi
1,5,8.338193,vr
1,5,0.000000,vi
1,6,8.100313,vr
1,6,0.000000,vi
1,7,7.677433,vr
1,7,0.273964,vi
1,8,7.677433,vr
1,8,-0.273964,vi
1,9,7.477790,vr
1,9,0.000000,vi
1,N/A,0.426079,t
1,0,6.051586,A
2,0,6.675610,vr
2,0,0.000000,vi
2,1,9.318763,vr
2,1,0.078724,vi
2,2,9.318763,vr
2,2,-0.078724,vi
2,3,8.930846,vr
2,3,0.545524,vi
2,4,8.930846,vr
2,4,-0.545524,vi
2,5,8.960085,vr
2,5,0.271606,vi
2,6,8.960085,vr
2,6,-0.271606,vi
2,7,8.266601,vr
2,7,0.000000,vi
2,8,8.466269,vr
2,8,0.262893,vi
2,9,8.466269,vr
2,9,-0.262893,vi
2,N/A,0.608356,t
2,0,10.951571,A
3,0,9.390472,vr
3,0,0.532346,vi
3,1,9.390472,vr
3,1,-0.532346,vi
3,2,9.586165,vr
3,2,0.139081,vi
3,3,9.586165,vr
3,3,-0.139081,vi
3,4,8.691608,vr
3,4,0.324749,vi
3,5,8.691608,vr
3,5,-0.324749,vi
3,6,9.129346,vr
3,6,0.317581,vi
3,7,9.129346,vr
3,7,-0.317581,vi
3,8,8.769561,vr
3,8,0.085088,vi
3,9,8.769561,vr
3,9,-0.085088,vi
3,N/A,0.799717,t
3,0,3.378637,A
4,0,9.576754,vr
4,0,0.551227,vi
4,1,9.576754,vr
4,1,-0.551227,vi
4,2,9.770236,vr
4,2,0.147837,vi
4,3,9.770236,vr
4,3,-0.147837,vi
4,4,8.810478,vr
4,4,0.000000,vi
4,5,9.042251,vr
4,5,0.487605,vi
4,6,9.042251,vr
4,6,-0.487605,vi
4,7,9.205842,vr
4,7,0.450070,vi
4,8,9.205842,vr
4,8,-0.450070,vi
4,9,9.284374,vr
4,9,0.000000,vi
4,N/A,0.993124,t
4,0,2.205937,A
5,0,9.639377,vr
5,0,0.546964,vi
5,1,9.639377,vr
5,1,-0.546964,vi
5,2,9.859072,vr
5,2,0.126288,vi
5,3,9.859072,vr
5,3,-0.126288,vi
5,4,9.140555,vr
5,4,0.526641,vi
5,5,9.140555,vr
5,5,-0.526641,vi
5,6,9.346999,vr
5,6,0.490259,vi
5,7,9.346999,vr
5,7,-0.490259,vi
5,8,9.020598,vr
5,8,0.000000,vi
5,9,9.207418,vr
5,9,0.000000,vi
5,N/A,1.165894,t
5,0,1.464176,A
6,0,9.888487,vr
6,0,0.093076,vi
6,1,9.888487,vr
6,1,-0.093076,vi
6,2,9.675631,vr
6,2,0.514917,vi
6,3,9.675631,vr
6,3,-0.514917,vi
6,4,9.212001,vr
6,4,0.570586,vi
6,5,9.212001,vr
6,5,-0.570586,vi
6,6,9.476229,vr
6,6,0.529908,vi
6,7,9.476229,vr
6,7,-0.529908,vi
6,8,9.127765,vr
6,8,0.134365,vi
6,9,9.127765,vr
6,9,-0.134365,vi
6,N/A,1.337492,t
6,0,1.238100,A
7,0,9.263730,vr
7,0,0.595637,vi
7,1,9.263730,vr
7,1,-0.595637,vi
7,2,9.156743,vr
7,2,0.136965,vi
7,3,9.156743,vr
7,3,-0.136965,vi
7,4,9.877564,vr
7,4,0.032533,vi
7,5,9.877564,vr
7,5,-0.032533,vi
7,6,9.582289,vr
7,6,0.548850,vi
7,7,9.582289,vr
7,7,-0.548850,vi
7,8,9.698421,vr
7,8,0.450763,vi
7,9,9.698421,vr
7,9,-0.450763,vi
7,N/A,1.534206,t
7,0,1.249612,A
8,0,9.281860,vr
8,0,0.608800,vi
8,1,9.281860,vr
8,1,-0.608800,vi
8,2,9.618049,vr
8,2,0.529675,vi
8,3,9.618049,vr
8,3,-0.529675,vi
8,4,9.222586,vr
8,4,0.080961,vi
8,5,9.222586,vr
8,5,-0.080961,vi
8,6,9.640881,vr
8,6,0.269140,vi
8,7,9.640881,vr
8,7,-0.269140,vi
8,8,9.924085,vr
8,8,0.000000,vi
8,9,9.763301,vr
8,9,0.000000,vi
8,N/A,1.714034,t
8,0,0.855349,A
9,0,9.299216,vr
9,0,0.616615,vi
9,1,9.299216,vr
9,1,-0.616615,vi
9,2,9.673263,vr
9,2,0.481333,vi
9,3,9.673263,vr
9,3,-0.481333,vi
9,4,9.261451,vr
9,4,0.000000,vi
9,5,9.402737,vr
9,5,0.202951,vi
9,6,9.402737,vr
9,6,-0.202951,vi
9,7,9.774874,vr
9,7,0.274448,vi
9,8,9.774874,vr
9,8,-0.274448,vi
9,9,9.932370,vr
9,9,0.000000,vi
9,N/A,1.897873,t
9,0,2.217403,A
10,0,9.326966,vr
10,0,0.622994,vi
10,1,9.326966,vr
10,1,-0.622994,vi
10,2,9.925978,vr
10,2,0.000000,vi
10,3,9.819364,vr
10,3,0.281198,vi
10,4,9.819364,vr
10,4,-0.281198,vi
10,5,9.634466,vr
10,5,0.436621,vi
10,6,9.634466,vr
10,6,-0.436621,vi
10,7,9.255150,vr
10,7,0.220121,vi
10,8,9.255150,vr
10,8,-0.220121,vi
10,9,9.205095,vr
10,9,0.000000,vi
10,N/A,2.093077,t
10,0,0.660301,A
11,0,9.340060,vr
11,0,0.604856,vi
11,1,9.340060,vr
11,1,-0.604856,vi
11,2,9.344623,vr
11,2,0.270200,vi
11,3,9.344623,vr
11,3,-0.270200,vi
11,4,9.317668,vr
11,4,0.000000,vi
11,5,9.559279,vr
11,5,0.406605,vi
11,6,9.559279,vr
11,6,-0.406605,vi
11,7,9.934434,vr
11,7,0.000000,vi
11,8,9.744777,vr
11,8,0.231259,vi
11,9,9.744777,vr
11,9,-0.231259,vi
11,N/A,2.493052,t
11,0,1.531588,A
12,0,9.362660,vr
12,0,0.571002,vi
12,1,9.362660,vr
12,1,-0.571002,vi
12,2,9.461245,vr
12,2,0.405880,vi
12,3,9.461245,vr
12,3,-0.405880,vi
12,4,9.667488,vr
12,4,0.233042,vi
12,5,9.667488,vr
12,5,-0.233042,vi
12,6,9.336840,vr
12,6,0.237581,vi
12,7,9.336840,vr
12,7,-0.237581,vi
12,8,9.348061,vr
12,8,0.000000,vi
12,9,9.936385,vr
12,9,0.000000,vi
12,N/A,2.653384,t
12,0,0.532867,A
13,0,9.911502,vr
13,0,0.000000,vi
13,1,9.385677,vr
13,1,0.531582,vi
13,2,9.385677,vr
13,2,-0.531582,vi
13,3,9.367042,vr
13,3,0.408529,vi
13,4,9.367042,vr
13,4,-0.408529,vi
13,5,9.596534,vr
13,5,0.259760,vi
13,6,9.596534,vr
13,6,-0.259760,vi
13,7,9.309679,vr
13,7,0.169501,vi
13,8,9.309679,vr
13,8,-0.169501,vi
13,9,9.350659,vr
13,9,0.000000,vi
13,N/A,2.862965,t
13,0,0.726049,A
14,0,9.865362,vr
14,0,0.000000,vi
14,1,9.390951,vr
14,1,0.512049,vi
14,2,9.390951,vr
14,2,-0.512049,vi
14,3,9.557218,vr
14,3,0.281120,vi
14,4,9.557218,vr
14,4,-0.281120,vi
14,5,9.271588,vr
14,5,0.382489,vi
14,6,9.271588,vr
14,6,-0.382489,vi
14,7,9.247551,vr
14,7,0.108135,vi
14,8,9.247551,vr
14,8,-0.108135,vi
