iteration, eigindex, value, type
0,N/A,0,t
0,0,2200284.339340,A
1,0,2.237318,vr
1,0,0.979295,vi
1,1,2.237318,vr
1,1,-0.979295,vi
1,2,0.913980,vr
1,2,0.375152,vi
1,3,0.913980,vr
1,3,-0.375152,vi
1,4,-0.036187,vr
1,4,0.539443,vi
1,5,-0.036187,vr
1,5,-0.539443,vi
1,6,-0.697394,vr
1,6,0.000000,vi
1,7,-0.559804,vr
1,7,0.000000,vi
1,8,-0.305430,vr
1,8,0.330462,vi
1,9,-0.305430,vr
1,9,-0.330462,vi
1,N/A,1.895972,t
1,0,26.454711,A
2,0,4.352284,vr
2,0,0.000000,vi
2,1,-1.265757,vr
2,1,1.530152,vi
2,2,-1.265757,vr
2,2,-1.530152,vi
2,3,2.229618,vr
2,3,0.000000,vi
2,4,1.838593,vr
2,4,0.000000,vi
2,5,-0.953863,vr
2,5,0.000000,vi
2,6,0.816631,vr
2,6,0.000000,vi
2,7,-0.237512,vr
2,7,0.000000,vi
2,8,0.072962,vr
2,8,0.000000,vi
2,9,0.374647,vr
2,9,0.000000,vi
2,N/A,3.761707,t
2,0,12.001099,A
3,0,-0.247360,vr
3,0,3.249871,vi
3,1,-0.247360,vr
3,1,-3.249871,vi
3,2,-3.404792,vr
3,2,0.000000,vi
3,3,2.776647,vr
3,3,0.000000,vi
3,4,0.883522,vr
3,4,0.000000,vi
3,5,0.528078,vr
3,5,0.818173,vi
3,6,0.528078,vr
3,6,-0.818173,vi
3,7,-0.001234,vr
3,7,0.000000,vi
3,8,-1.354748,vr
3,8,0.000000,vi
3,9,-1.019083,vr
3,9,0.000000,vi
3,N/A,5.634336,t
3,0,12.985073,A
4,0,0.696722,vr
4,0,4.147003,vi
4,1,0.696722,vr
4,1,-4.147003,vi
4,2,3.776202,vr
4,2,0.000000,vi
4,3,2.876293,vr
4,3,0.000000,vi
4,4,-2.632131,vr
4,4,0.890782,vi
4,5,-2.632131,vr
4,5,-0.890782,vi
4,6,0.303957,vr
4,6,0.397006,vi
4,7,0.303957,vr
4,7,-0.397006,vi
4,8,-0.494464,vr
4,8,0.000000,vi
4,9,-0.352886,vr
4,9,0.000000,vi
4,N/A,7.495226,t
4,0,14.140601,A
5,0,0.331933,vr
5,0,4.082734,vi
5,1,0.331933,vr
5,1,-4.082734,vi
