iteration, eigindex, value, type
0,N/A,0,t
0,0,2099730.231693,A
1,0,3.680477,vr
1,0,0.000000,vi
1,1,2.129386,vr
1,1,0.000000,vi
1,2,-1.082081,vr
1,2,0.764769,vi
1,3,-1.082081,vr
1,3,-0.764769,vi
1,4,-0.537718,vr
1,4,0.949379,vi
1,5,-0.537718,vr
1,5,-0.949379,vi
1,6,0.543189,vr
1,6,0.413028,vi
1,7,0.543189,vr
1,7,-0.413028,vi
1,8,0.556966,vr
1,8,0.000000,vi
1,9,-0.357024,vr
1,9,0.000000,vi
1,N/A,1.111691,t
1,0,6.718159,A
2,0,0.998070,vr
2,0,3.627345,vi
2,1,0.998070,vr
2,1,-3.627345,vi
2,2,-1.603002,vr
2,2,0.609979,vi
2,3,-1.603002,vr
2,3,-0.609979,vi
2,4,0.768589,vr
2,4,0.928765,vi
2,5,0.768589,vr
2,5,-0.928765,vi
2,6,0.501856,vr
2,6,0.287159,vi
2,7,0.501856,vr
2,7,-0.287159,vi
2,8,-0.500883,vr
2,8,0.264014,vi
2,9,-0.500883,vr
2,9,-0.264014,vi
2,N/A,1.865625,t
2,0,20.030830,A
3,0,-5.860082,vr
3,0,0.000000,vi
3,1,2.903712,vr
3,1,0.000000,vi
3,2,0.597326,vr
3,2,1.964501,vi
3,3,0.597326,vr
3,3,-1.964501,vi
3,4,1.057997,vr
3,4,0.836816,vi
3,5,1.057997,vr
3,5,-0.836816,vi
3,6,-0.957876,vr
3,6,0.212477,vi
3,7,-0.957876,vr
3,7,-0.212477,vi
3,8,0.165956,vr
3,8,0.415484,vi
3,9,0.165956,vr
3,9,-0.415484,vi
3,N/A,2.583397,t
3,0,14.245582,A
4,0,-0.347397,vr
4,0,4.032854,vi
4,1,-0.347397,vr
4,1,-4.032854,vi
4,2,-3.132139,vr
4,2,0.000000,vi
4,3,3.095707,vr
4,3,0.546928,vi
4,4,3.095707,vr
4,4,-0.546928,vi
4,5,-1.694961,vr
4,5,0.000000,vi
4,6,1.270078,vr
4,6,0.000000,vi
4,7,-0.293444,vr
4,7,0.000000,vi
4,8,0.181383,vr
