iteration, eigindex, value, type
0,N/A,0,t
0,0,2099730.231693,A
1,0,3.681121,vr
1,0,0.000000,vi
1,1,2.129587,vr
1,1,0.000000,vi
1,2,-1.082162,vr
1,2,0.763596,vi
1,3,-1.082162,vr
1,3,-0.763596,vi
1,4,-0.538521,vr
1,4,0.951328,vi
1,5,-0.538521,vr
1,5,-0.951328,vi
1,6,0.543114,vr
1,6,0.412510,vi
1,7,0.543114,vr
1,7,-0.412510,vi
1,8,0.557160,vr
1,8,0.000000,vi
1,9,-0.356247,vr
1,9,0.000000,vi
1,N/A,0.687925,t
1,0,6.724539,A
2,0,0.998069,vr
2,0,3.627343,vi
2,1,0.998069,vr
2,1,-3.627343,vi
2,2,-1.603013,vr
2,2,0.609991,vi
2,3,-1.603013,vr
2,3,-0.609991,vi
2,4,0.768575,vr
2,4,0.928771,vi
2,5,0.768575,vr
2,5,-0.928771,vi
2,6,0.501868,vr
2,6,0.287142,vi
2,7,0.501868,vr
2,7,-0.287142,vi
2,8,-0.500878,vr
2,8,0.264016,vi
2,9,-0.500878,vr
2,9,-0.264016,vi
2,N/A,0.978340,t
2,0,20.030929,A
3,0,-5.860038,vr
3,0,0.000000,vi
3,1,2.903361,vr
3,1,0.000000,vi
3,2,0.597509,vr
3,2,1.964413,vi
3,3,0.597509,vr
3,3,-1.964413,vi
3,4,1.058017,vr
3,4,0.836735,vi
3,5,1.058017,vr
3,5,-0.836735,vi
3,6,-0.958063,vr
3,6,0.212080,vi
3,7,-0.958063,vr
3,7,-0.212080,vi
3,8,0.166118,vr
3,8,0.415425,vi
3,9,0.166118,vr
3,9,-0.415425,vi
3,N/A,1.246121,t
3,0,14.245725,A
4,0,-0.347404,vr
4,0,4.032805,vi
4,1,-0.347404,vr
4,1,-4.032805,vi
4,2,-3.132078,vr
4,2,0.000000,vi
4,3,3.095501,vr
4,3,0.546955,vi
4,4,3.095501,vr
4,4,-0.546955,vi
4,5,-1.695083,vr
4,5,0.000000,vi
4,6,1.270058,vr
4,6,0.000000,vi
4,7,-0.293486,vr
4,7,0.000000,vi
4,8,0.181457,vr
