iteration, eigindex, value, type
0,N/A,0,t
0,0,1176.590463,A
1,0,5.171250,vr
1,0,0.000000,vi
1,1,8.002950,vr
1,1,0.737262,vi
1,2,8.002950,vr
1,2,-0.737262,vi
1,3,7.543926,vr
1,3,0.316694,vi
1,4,7.543926,vr
1,4,-0.316694,vi
1,5,7.719835,vr
1,5,0.000000,vi
1,6,8.756925,vr
1,6,0.296186,vi
1,7,8.756925,vr
1,7,-0.296186,vi
1,8,8.679524,vr
1,8,0.000000,vi
1,9,8.166923,vr
1,9,0.000000,vi
1,N/A,0.790305,t
1,0,5.970078,A
2,0,6.821659,vr
2,0,0.000000,vi
2,1,8.751353,vr
2,1,0.859713,vi
2,2,8.751353,vr
2,2,-0.859713,vi
2,3,9.312877,vr
2,3,0.184698,vi
2,4,9.312877,vr
2,4,-0.184698,vi
2,5,9.044672,vr
2,5,0.254359,vi
2,6,9.044672,vr
2,6,-0.254359,vi
2,7,8.444812,vr
2,7,0.293978,vi
2,8,8.444812,vr
2,8,-0.293978,vi
2,9,8.417704,vr
2,9,0.000000,vi
2,N/A,0.898737,t
2,0,10.245349,A
3,0,9.150390,vr
3,0,0.864574,vi
3,1,9.150390,vr
3,1,-0.864574,vi
3,2,8.760923,vr
3,2,0.455356,vi
3,3,8.760923,vr
3,3,-0.455356,vi
3,4,9.553357,vr
3,4,0.245908,vi
3,5,9.553357,vr
3,5,-0.245908,vi
3,6,9.102623,vr
3,6,0.359173,vi
3,7,9.102623,vr
3,7,-0.359173,vi
3,8,8.993745,vr
3,8,0.178220,vi
3,9,8.993745,vr
3,9,-0.178220,vi
3,N/A,1.006631,t
3,0,4.992832,A
4,0,9.436314,vr
4,0,0.850428,vi
4,1,9.436314,vr
4,1,-0.850428,vi
4,2,9.246377,vr
4,2,0.599308,vi
4,3,9.246377,vr
4,3,-0.599308,vi
4,4,9.146858,vr
4,4,0.259644,vi
4,5,9.146858,vr
4,5,-0.259644,vi
4,6,9.110113,vr
4,6,0.000000,vi
4,7,9.290672,vr
4,7,0.000000,vi
4,8,9.623568,vr
4,8,0.289101,vi
4,9,9.623568,vr
4,9,-0.289101,vi
4,N/A,1.099526,t
4,0,4.011610,A
5,0,9.572419,vr
5,0,0.791146,vi
5,1,9.572419,vr
5,1,-0.791146,vi
5,2,9.345150,vr
5,2,0.586933,vi
5,3,9.345150,vr
5,3,-0.586933,vi
5,4,9.581368,vr
5,4,0.334951,vi
5,5,9.581368,vr
5,5,-0.334951,vi
5,6,9.159445,vr
5,6,0.253959,vi
5,7,9.159445,vr
5,7,-0.253959,vi
5,8,9.589031,vr
5,8,0.000000,vi
5,9,9.296760,vr
5,9,0.000000,vi
5,N/A,1.186949,t
5,0,2.635979,A
6,0,9.628919,vr
6,0,0.734220,vi
6,1,9.628919,vr
6,1,-0.734220,vi
6,2,9.358920,vr
6,2,0.601625,vi
6,3,9.358920,vr
6,3,-0.601625,vi
6,4,9.782563,vr
6,4,0.000000,vi
6,5,9.593334,vr
6,5,0.386803,vi
6,6,9.593334,vr
6,6,-0.386803,vi
6,7,9.223431,vr
6,7,0.283866,vi
6,8,9.223431,vr
6,8,-0.283866,vi
6,9,9.267207,vr
6,9,0.000000,vi
6,N/A,1.275402,t
6,0,2.304732,A
7,0,9.648445,vr
7,0,0.682539,vi
7,1,9.648445,vr
7,1,-0.682539,vi
7,2,9.339982,vr
7,2,0.647256,vi
7,3,9.339982,vr
7,3,-0.647256,vi
7,4,9.877126,vr
7,4,0.000000,vi
7,5,9.625054,vr
7,5,0.386074,vi
7,6,9.625054,vr
7,6,-0.386074,vi
7,7,9.250835,vr
7,7,0.000000,vi
7,8,9.290805,vr
7,8,0.285232,vi
7,9,9.290805,vr
7,9,-0.285232,vi
7,N/A,1.363145,t
7,0,1.618723,A
8,0,9.644604,vr
8,0,0.641251,vi
8,1,9.644604,vr
8,1,-0.641251,vi
8,2,9.331757,vr
8,2,0.690028,vi
8,3,9.331757,vr
8,3,-0.690028,vi
8,4,9.263757,vr
8,4,0.000000,vi
8,5,9.331190,vr
8,5,0.258788,vi
8,6,9.331190,vr
8,6,-0.258788,vi
8,7,9.917335,vr
8,7,0.000000,vi
8,8,9.645501,vr
8,8,0.350867,vi
8,9,9.645501,vr
8,9,-0.350867,vi
8,N/A,1.452537,t
8,0,1.875394,A
9,0,9.336542,vr
9,0,0.714085,vi
9,1,9.336542,vr
9,1,-0.714085,vi
9,2,9.634003,vr
9,2,0.613514,vi
9,3,9.634003,vr
9,3,-0.613514,vi
9,4,9.907928,vr
9,4,0.000000,vi
9,5,9.651580,vr
9,5,0.289327,vi
9,6,9.651580,vr
9,6,-0.289327,vi
9,7,9.284445,vr
9,7,0.000000,vi
9,8,9.338363,vr
9,8,0.199135,vi
9,9,9.338363,vr
9,9,-0.199135,vi
9,N/A,1.541911,t
9,0,1.403897,A
10,0,9.350752,vr
10,0,0.718774,vi
10,1,9.350752,vr
10,1,-0.718774,vi
10,2,9.627495,vr
10,2,0.587522,vi
10,3,9.627495,vr
10,3,-0.587522,vi
10,4,9.856543,vr
10,4,0.000000,vi
10,5,9.644982,vr
10,5,0.208008,vi
10,6,9.644982,vr
10,6,-0.208008,vi
10,7,9.338757,vr
10,7,0.113917,vi
10,8,9.338757,vr
10,8,-0.113917,vi
10,9,9.234749,vr
10,9,0.000000,vi
10,N/A,1.628277,t
10,0,1.121607,A
11,0,9.372171,vr
11,0,0.706003,vi
11,1,9.372171,vr
11,1,-0.706003,vi
11,2,9.619472,vr
11,2,0.551319,vi
11,3,9.619472,vr
11,3,-0.551319,vi
11,4,9.079905,vr
11,4,0.000000,vi
11,5,9.351604,vr
11,5,0.099457,vi
11,6,9.351604,vr
11,6,-0.099457,vi
11,7,9.627802,vr
11,7,0.109755,vi
11,8,9.627802,vr
11,8,-0.109755,vi
11,9,9.779185,vr
11,9,0.000000,vi
11,N/A,1.711725,t
11,0,0.966776,A
12,0,9.398631,vr
12,0,0.677971,vi
12,1,9.398631,vr
12,1,-0.677971,vi
12,2,8.959102,vr
12,2,0.000000,vi
12,3,9.600623,vr
12,3,0.502512,vi
12,4,9.600623,vr
12,4,-0.502512,vi
12,5,9.328838,vr
12,5,0.103554,vi
12,6,9.328838,vr
12,6,-0.103554,vi
12,7,9.723551,vr
12,7,0.000000,vi
12,8,9.646256,vr
12,8,0.000000,vi
12,9,9.501923,vr
12,9,0.000000,vi
12,N/A,1.795028,t
12,0,0.804570,A
13,0,9.427022,vr
13,0,0.638913,vi
13,1,9.427022,vr
13,1,-0.638913,vi
13,2,8.864254,vr
13,2,0.000000,vi
