iteration, eigindex, value, type
0,N/A,0,t
0,0,2547831.600693,A
1,0,2.173742,vr
1,0,0.000000,vi
1,1,1.448834,vr
1,1,1.065379,vi
1,2,1.448834,vr
1,2,-1.065379,vi
1,3,1.158192,vr
1,3,0.000000,vi
1,4,-0.873279,vr
1,4,0.169848,vi
1,5,-0.873279,vr
1,5,-0.169848,vi
1,6,-0.370295,vr
1,6,0.563994,vi
1,7,-0.370295,vr
1,7,-0.563994,vi
1,8,-0.214521,vr
1,8,0.278829,vi
1,9,-0.214521,vr
1,9,-0.278829,vi
1,N/A,2.571625,t
1,0,6.438735,A
2,0,4.088240,vr
2,0,0.000000,vi
2,1,2.163464,vr
2,1,0.000000,vi
2,2,1.602582,vr
2,2,0.000000,vi
2,3,-0.964587,vr
2,3,1.064600,vi
2,4,-0.964587,vr
2,4,-1.064600,vi
2,5,-0.813909,vr
2,5,0.000000,vi
2,6,-0.368614,vr
2,6,0.369182,vi
2,7,-0.368614,vr
2,7,-0.369182,vi
2,8,0.237740,vr
2,8,0.000000,vi
2,9,0.008077,vr
2,9,0.000000,vi
2,N/A,4.137213,t
2,0,11.610736,A
3,0,0.584541,vr
3,0,3.125993,vi
3,1,0.584541,vr
3,1,-3.125993,vi
3,2,2.165662,vr
3,2,0.261937,vi
3,3,2.165662,vr
3,3,-0.261937,vi
3,4,0.218717,vr
3,4,0.592261,vi
3,5,0.218717,vr
3,5,-0.592261,vi
3,6,-1.209701,vr
3,6,0.791306,vi
3,7,-1.209701,vr
3,7,-0.791306,vi
3,8,-0.771709,vr
3,8,0.210879,vi
3,9,-0.771709,vr
3,9,-0.210879,vi
3,N/A,5.735248,t
3,0,12.646677,A
4,0,0.641161,vr
4,0,3.893601,vi
4,1,0.641161,vr
4,1,-3.893601,vi
4,2,3.935902,vr
4,2,0.000000,vi
4,3,3.234887,vr
4,3,0.000000,vi
4,4,-2.155349,vr
4,4,0.607094,vi
4,5,-2.155349,vr
4,5,-0.607094,vi
4,6,0.138970,vr
4,6,0.547533,vi
4,7,0.138970,vr
4,7,-0.547533,vi
4,8,-0.577049,vr
4,8,0.297717,vi
4,9,-0.577049,vr
4,9,-0.297717,vi
4,N/A,7.330760,t
4,0,14.463964,A
5,0,4.296394,vr
5,0,0.000000,vi
5,1,0.611513,vr
5,1,3.978109,vi
5,2,0.611513,vr
5,2,-3.978109,vi
5,3,2.006151,vr
5,3,0.000000,vi
5,4,-2.261266,vr
5,4,0.000000,vi
5,5,-1.515268,vr
5,5,1.158386,vi
5,6,-1.515268,vr
5,6,-1.158386,vi
5,7,-0.570501,vr
5,7,0.855223,vi
5,8,-0.570501,vr
5,8,-0.855223,vi
5,9,1.105402,vr
5,9,0.000000,vi
5,N/A,9.174974,t
5,0,2.894899,A
6,0,0.594554,vr
6,0,4.289019,vi
6,1,0.594554,vr
6,1,-4.289019,vi
6,2,3.572094,vr
6,2,0.000000,vi
6,3,-4.036428,vr
6,3,0.000000,vi
6,4,2.041262,vr
6,4,1.247816,vi
6,5,2.041262,vr
6,5,-1.247816,vi
6,6,-0.761085,vr
6,6,1.614817,vi
6,7,-0.761085,vr
6,7,-1.614817,vi
6,8,-1.791954,vr
6,8,0.000000,vi
6,9,-0.968064,vr
6,9,0.000000,vi
6,N/A,10.536408,t
6,0,40.142074,A
7,0,0.318249,vr
7,0,3.942655,vi
7,1,0.318249,vr
7,1,-3.942655,vi
7,2,4.589784,vr
7,2,0.000000,vi
7,3,-2.959198,vr
7,3,1.718097,vi
7,4,-2.959198,vr
7,4,-1.718097,vi
7,5,-3.084767,vr
7,5,0.000000,vi
7,6,-0.520630,vr
7,6,0.890614,vi
7,7,-0.520630,vr
